Model,Test RMSE (eV),Improvement vs Baseline (%)
Contrastive SSL,0.914490884671842,-1.4683606795493334
Masked SSL,0.7979593939500669,11.46152143220696
Random-Init Baseline,0.9012571786390899,0.0
